Date,Map,Score,Rank,K,D,A,+/-,HS%,ADR,1v5,1v4,1v3,1v2,1v1,5k,4k,3k,Rating,Match Links,PlayerID
1 hours ago,de_mirage,15:15,10,31,19,3,12,48,105,0,0,0,0,0,0,0,2,1.38,13943331,76561198236436482
2 hours ago,de_inferno,16:8,10,12,19,7,-7,42,70,0,0,0,0,0,0,0,0,0.64,13943332,76561198236436482
Yesterday,de_dust2,16:11,10,19,19,2,0,63,77,0,0,0,1,0,0,0,1,1.01,13943329,76561198236436482
Yesterday,de_mirage,12:16,10,25,23,6,2,52,94,0,0,0,0,0,0,0,2,1.14,13943330,76561198236436482
Yesterday,de_vertigo,12:16,10,25,22,3,3,48,109,0,0,0,0,0,0,0,1,1.09,13943328,76561198236436482
Yesterday,de_mirage,16:10,10,20,21,5,-1,60,85,0,0,0,0,0,0,0,2,1.1,13927650,76561198236436482
2 days ago,de_mirage,16:12,10,20,21,5,-1,55,79,0,0,0,0,0,0,0,2,0.97,13865695,76561198236436482
2 days ago,de_cache,10:16,10,14,22,4,-8,43,63,0,0,0,0,0,0,0,0,0.65,13865696,76561198236436482
2 days ago,de_inferno,7:16,10,13,21,4,-8,54,65,0,0,0,0,0,0,0,1,0.72,13865693,76561198236436482
3 days ago,de_cache,11:16,10,20,23,6,-3,50,80,0,0,0,0,0,0,0,1,0.89,13846874,76561198236436482
4 days ago,de_nuke,12:16,10,18,22,5,-4,44,76,0,0,0,0,0,0,0,0,0.77,13774243,76561198236436482
4 days ago,de_overpass,8:16,10,16,21,4,-5,44,78,0,0,0,0,0,0,0,0,0.81,13774244,76561198236436482
4 days ago,de_cache,11:16,11,17,22,1,-5,41,60,0,0,0,0,0,0,0,0,0.76,13774242,76561198236436482
4 days ago,de_mirage,16:12,11,18,19,6,-1,39,73,0,0,0,0,0,0,0,0,0.96,13765118,76561198236436482
5 days ago,de_nuke,16:13,10,18,24,4,-6,61,72,0,0,0,0,0,0,0,1,0.75,13734767,76561198236436482
5 days ago,de_inferno,16:10,10,19,18,6,1,47,74,0,0,0,0,0,0,0,3,1.18,13734763,76561198236436482
5 days ago,de_anubis,10:16,10,16,23,4,-7,50,83,0,0,0,0,0,0,1,0,0.81,13731286,76561198236436482
5 days ago,de_mirage,15:15,10,28,23,6,5,36,90,0,0,0,0,1,0,2,1,1.34,13731287,76561198236436482
5 days ago,de_cache,12:16,10,17,24,1,-7,35,69,0,0,0,0,0,0,0,1,0.75,13731284,76561198236436482
5 days ago,de_anubis,16:0,10,18,3,3,15,28,123,0,0,0,0,0,0,0,2,2.0,13731274,76561198236436482
6 days ago,de_inferno,16:12,10,17,20,4,-3,47,76,0,0,0,0,0,0,0,3,1.02,13731285,76561198236436482
6 days ago,de_mirage,13:16,10,15,25,3,-10,20,58,0,0,0,0,0,0,0,1,0.62,13731280,76561198236436482
6 days ago,de_cache,2:16,10,7,18,2,-11,43,46,0,0,0,1,0,0,0,0,0.36,13731272,76561198236436482
6 days ago,de_nuke,16:2,10,19,10,1,9,47,95,0,0,0,0,0,0,0,1,1.52,13721719,76561198236436482
6 days ago,de_inferno,16:14,10,15,21,1,-6,47,48,0,0,0,0,0,0,0,1,0.76,13731277,76561198236436482
"Sun, 2nd Aug",de_vertigo,16:14,10,19,22,7,-3,42,85,0,0,0,0,1,0,0,0,0.82,13664252,76561198236436482
"Sun, 2nd Aug",de_overpass,16:6,10,18,9,0,9,28,64,0,0,0,0,2,0,0,2,1.38,13664250,76561198236436482
"Sun, 2nd Aug",de_cache,9:16,10,16,24,6,-8,38,93,0,0,0,0,0,0,0,1,0.72,13664248,76561198236436482
"Sun, 2nd Aug",de_mirage,9:1,10,3,5,1,-2,67,41,0,0,0,0,0,0,0,0,0.72,13664236,76561198236436482
"Sun, 2nd Aug",de_mirage,11:16,10,21,20,5,1,43,89,0,0,0,0,0,0,0,0,0.99,13664244,76561198236436482
"Sun, 2nd Aug",de_nuke,16:6,10,26,11,5,15,54,116,0,0,0,0,0,0,0,1,1.66,13664237,76561198236436482
"Sun, 2nd Aug",de_anubis,16:8,10,20,15,7,5,35,104,0,0,0,0,0,0,0,1,1.2,13630838,76561198236436482
"Sat, 1st Aug",de_inferno,16:12,10,11,21,2,-10,27,47,0,0,0,0,0,0,0,0,0.55,13664247,76561198236436482
"Sat, 1st Aug",de_mirage,12:16,10,23,23,8,0,61,92,0,0,0,1,0,0,1,1,1.1,13664245,76561198236436482
"Sat, 1st Aug",de_inferno,16:8,10,18,14,4,4,39,85,0,0,0,1,0,0,0,1,1.14,13664241,76561198236436482
"Sat, 1st Aug",de_cache,8:16,10,10,21,5,-11,70,48,0,0,0,0,0,0,0,0,0.5,13664231,76561198236436482
