Name,Rank,K,D,A,+/-,K/D,ADR,HS%,FK,FD,FK_T,FD_T,FK_CT,FD_CT,Trade_kill,Trade_death,Traded_first_kill,Traded_first_death,Traded_first_kill_T,Traded_first_death_T,Traded_first_kill_CT,Traded_first_death_CT,1v5,1v4,1v3,1v2,1v1,5k,4k,3k,2k,1k,KAST,Rating,Match ID,Player ID
*{recker}*,11,27,20,7,7,1.4,95,37%,1,3,1,2,0,1,6,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,7,73%,1.54,14050478,76561198064711336
// A B //,11,27,17,4,10,1.6,107,48%,5,2,2,2,3,0,5,5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,7,9,81%,1.44,14050478,76561198442994192
lazyG,10,21,18,5,3,1.2,97,48%,4,2,0,1,4,1,2,6,1,0,1,0,0,0,0,0,0,1,0,0,0,3,3,6,77%,1.19,14050478,76561198236436482
The Mechanic,11,18,16,2,2,1.1,72,50%,3,1,1,1,2,0,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,4,7,73%,1.05,14050478,76561198825433927
✪bonzaiKH✪,10,11,18,2,-7,0.6,46,45%,3,2,1,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,54%,0.68,14050478,76561198192313598
The Mechanic,10,24,24,5,0,1.0,95,38%,1,2,1,1,0,1,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,10,70%,1.03,13982556,76561198825433927
✪bonzaiKH✪,10,21,21,2,0,1.0,78,52%,5,2,1,2,4,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3,9,63%,1.0,13982556,76561198192313598
*{recker}*,10,21,24,9,-3,0.9,86,48%,4,5,2,1,2,4,3,7,1,1,1,0,0,1,0,0,0,1,1,0,0,3,3,6,73%,0.98,13982556,76561198064711336
lazyG,10,21,23,6,-2,0.9,71,52%,1,3,0,0,1,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,70%,0.95,13982556,76561198236436482
Frenemy,9,17,26,8,-9,0.7,70,53%,2,5,2,5,0,0,5,3,1,1,0,1,1,0,0,0,0,0,1,0,0,1,3,8,53%,0.7,13982556,76561198830524704
lazyG,10,21,12,8,9,1.8,111,43%,4,2,1,0,3,2,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,9,83%,1.34,13982554,76561198236436482
*{recker}*,10,18,14,2,4,1.3,83,44%,2,1,0,0,2,1,4,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,4,5,61%,1.33,13982554,76561198064711336
// A B //,11,22,16,4,6,1.4,87,45%,4,0,1,0,3,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,9,78%,1.25,13982554,76561198442994192
✪bonzaiKH✪,10,17,14,6,3,1.2,92,41%,5,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,8,74%,1.09,13982554,76561198192313598
The Mechanic,10,14,16,4,-2,0.9,61,29%,4,1,1,0,3,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,3,8,65%,0.83,13982554,76561198825433927
